reference_name,start,end,gain_frequency,loss_frequency,no,source_query
1,0,400000,4.711,4.099,1,infiltrating_duct_carcinoma_icdom
1,400000,1400000,6.482,10.047,2,infiltrating_duct_carcinoma_icdom
1,1400000,2400000,5.683,11.589,3,infiltrating_duct_carcinoma_icdom
1,2400000,3400000,7.955,22.316,4,infiltrating_duct_carcinoma_icdom
1,3400000,4400000,6.316,21.441,5,infiltrating_duct_carcinoma_icdom
1,4400000,5400000,5.371,22.087,6,infiltrating_duct_carcinoma_icdom
1,5400000,6400000,5.44,21.92,7,infiltrating_duct_carcinoma_icdom
1,6400000,7400000,5.586,21.997,8,infiltrating_duct_carcinoma_icdom
1,7400000,8400000,6.364,22.17,9,infiltrating_duct_carcinoma_icdom
1,8400000,9400000,5.002,21.17,10,infiltrating_duct_carcinoma_icdom
1,9400000,10400000,4.773,22.525,11,infiltrating_duct_carcinoma_icdom
1,10400000,11400000,4.829,22.344,12,infiltrating_duct_carcinoma_icdom
1,11400000,12400000,4.586,21.858,13,infiltrating_duct_carcinoma_icdom
1,12400000,13400000,5.107,22.157,14,infiltrating_duct_carcinoma_icdom
1,13400000,14400000,4.641,22.101,15,infiltrating_duct_carcinoma_icdom
1,14400000,15400000,4.933,21.83,16,infiltrating_duct_carcinoma_icdom
1,15400000,16400000,5.642,22.08,17,infiltrating_duct_carcinoma_icdom
1,16400000,17400000,6.295,22.483,18,infiltrating_duct_carcinoma_icdom
1,17400000,18400000,4.704,21.177,19,infiltrating_duct_carcinoma_icdom
1,18400000,19400000,4.843,21.246,20,infiltrating_duct_carcinoma_icdom
1,19400000,20400000,4.877,21.337,21,infiltrating_duct_carcinoma_icdom
1,20400000,21400000,4.773,21.059,22,infiltrating_duct_carcinoma_icdom
1,21400000,22400000,5.19,21.427,23,infiltrating_duct_carcinoma_icdom
1,22400000,23400000,4.85,20.913,24,infiltrating_duct_carcinoma_icdom
1,23400000,24400000,5.19,21.934,25,infiltrating_duct_carcinoma_icdom
1,24400000,25400000,5.107,22.184,26,infiltrating_duct_carcinoma_icdom
1,25400000,26400000,4.905,21.601,27,infiltrating_duct_carcinoma_icdom
1,26400000,27400000,5.058,22.191,28,infiltrating_duct_carcinoma_icdom
1,27400000,28400000,5.134,20.531,29,infiltrating_duct_carcinoma_icdom
1,28400000,29400000,5.155,18.724,30,infiltrating_duct_carcinoma_icdom
1,29400000,30400000,5.53,18.551,31,infiltrating_duct_carcinoma_icdom
1,30400000,31400000,5.947,17.258,32,infiltrating_duct_carcinoma_icdom
1,31400000,32400000,6.559,16.716,33,infiltrating_duct_carcinoma_icdom
1,32400000,33400000,6.455,16.175,34,infiltrating_duct_carcinoma_icdom
1,33400000,34400000,6.427,15.945,35,infiltrating_duct_carcinoma_icdom
1,34400000,35400000,7.184,16.105,36,infiltrating_duct_carcinoma_icdom
1,35400000,36400000,7.698,15.48,37,infiltrating_duct_carcinoma_icdom
1,36400000,37400000,7.83,15.035,38,infiltrating_duct_carcinoma_icdom
1,37400000,38400000,7.837,13.91,39,infiltrating_duct_carcinoma_icdom
1,38400000,39400000,8.775,13.59,40,infiltrating_duct_carcinoma_icdom
1,39400000,40400000,9.588,13.388,41,infiltrating_duct_carcinoma_icdom
1,40400000,41400000,9.289,13.076,42,infiltrating_duct_carcinoma_icdom
1,41400000,42400000,9.192,12.833,43,infiltrating_duct_carcinoma_icdom
1,42400000,43400000,10.012,13.138,44,infiltrating_duct_carcinoma_icdom
1,43400000,44400000,9.616,12.84,45,infiltrating_duct_carcinoma_icdom
1,44400000,45400000,9.484,13.326,46,infiltrating_duct_carcinoma_icdom
1,45400000,46400000,9.657,14.146,47,infiltrating_duct_carcinoma_icdom
1,46400000,47400000,7.983,13.458,48,infiltrating_duct_carcinoma_icdom
1,47400000,48400000,7.837,13.382,49,infiltrating_duct_carcinoma_icdom
1,48400000,49400000,7.691,13.527,50,infiltrating_duct_carcinoma_icdom
1,49400000,50400000,7.601,13.472,51,infiltrating_duct_carcinoma_icdom
1,50400000,51400000,8.803,14.208,52,infiltrating_duct_carcinoma_icdom
1,51400000,52400000,8.414,13.784,53,infiltrating_duct_carcinoma_icdom
1,52400000,53400000,8.671,14.097,54,infiltrating_duct_carcinoma_icdom
1,53400000,54400000,8.546,13.757,55,infiltrating_duct_carcinoma_icdom
1,54400000,55400000,8.636,14.389,56,infiltrating_duct_carcinoma_icdom
1,55400000,56400000,8.15,14.271,57,infiltrating_duct_carcinoma_icdom
1,56400000,57400000,8.178,14.438,58,infiltrating_duct_carcinoma_icdom
1,57400000,58400000,8.087,14.806,59,infiltrating_duct_carcinoma_icdom
1,58400000,59400000,8.838,15.098,60,infiltrating_duct_carcinoma_icdom
1,59400000,60400000,7.538,14.674,61,infiltrating_duct_carcinoma_icdom
1,60400000,61400000,7.907,14.847,62,infiltrating_duct_carcinoma_icdom
1,61400000,62400000,7.712,14.882,63,infiltrating_duct_carcinoma_icdom
1,62400000,63400000,7.538,14.931,64,infiltrating_duct_carcinoma_icdom
1,63400000,64400000,7.42,15.153,65,infiltrating_duct_carcinoma_icdom
1,64400000,65400000,7.816,15.737,66,infiltrating_duct_carcinoma_icdom
1,65400000,66400000,7.455,15.709,67,infiltrating_duct_carcinoma_icdom
1,66400000,67400000,6.948,15.702,68,infiltrating_duct_carcinoma_icdom
1,67400000,68400000,6.76,15.688,69,infiltrating_duct_carcinoma_icdom
1,68400000,69400000,6.58,15.758,70,infiltrating_duct_carcinoma_icdom
1,69400000,70400000,7.094,16.168,71,infiltrating_duct_carcinoma_icdom
1,70400000,71400000,8.581,16.716,72,infiltrating_duct_carcinoma_icdom
1,71400000,72400000,9.532,18.954,73,infiltrating_duct_carcinoma_icdom
1,72400000,73400000,6.448,16.626,74,infiltrating_duct_carcinoma_icdom
1,73400000,74400000,6.441,16.564,75,infiltrating_duct_carcinoma_icdom
1,74400000,75400000,6.767,16.876,76,infiltrating_duct_carcinoma_icdom
1,75400000,76400000,6.781,16.313,77,infiltrating_duct_carcinoma_icdom
1,76400000,77400000,6.781,16.286,78,infiltrating_duct_carcinoma_icdom
1,77400000,78400000,7.247,17.495,79,infiltrating_duct_carcinoma_icdom
1,78400000,79400000,6.739,16.557,80,infiltrating_duct_carcinoma_icdom
1,79400000,80400000,6.684,16.8,81,infiltrating_duct_carcinoma_icdom
1,80400000,81400000,6.691,16.758,82,infiltrating_duct_carcinoma_icdom
1,81400000,82400000,6.705,16.918,83,infiltrating_duct_carcinoma_icdom
1,82400000,83400000,6.858,17.529,84,infiltrating_duct_carcinoma_icdom
1,83400000,84400000,7.212,17.251,85,infiltrating_duct_carcinoma_icdom
1,84400000,85400000,7.247,17.37,86,infiltrating_duct_carcinoma_icdom
1,85400000,86400000,6.858,16.668,87,infiltrating_duct_carcinoma_icdom
1,86400000,87400000,6.788,16.793,88,infiltrating_duct_carcinoma_icdom
1,87400000,88400000,6.663,16.619,89,infiltrating_duct_carcinoma_icdom
1,88400000,89400000,6.851,16.716,90,infiltrating_duct_carcinoma_icdom
1,89400000,90400000,6.621,16.571,91,infiltrating_duct_carcinoma_icdom
1,90400000,91400000,6.663,16.682,92,infiltrating_duct_carcinoma_icdom
1,91400000,92400000,6.642,16.751,93,infiltrating_duct_carcinoma_icdom
1,92400000,93400000,6.732,16.723,94,infiltrating_duct_carcinoma_icdom
1,93400000,94400000,7.254,16.703,95,infiltrating_duct_carcinoma_icdom
1,94400000,95400000,7.247,16.675,96,infiltrating_duct_carcinoma_icdom
1,95400000,96400000,6.642,16.793,97,infiltrating_duct_carcinoma_icdom
1,96400000,97400000,6.503,16.71,98,infiltrating_duct_carcinoma_icdom
1,97400000,98400000,6.434,16.696,99,infiltrating_duct_carcinoma_icdom
1,98400000,99400000,6.607,16.89,100,infiltrating_duct_carcinoma_icdom
1,99400000,100400000,6.649,16.737,101,infiltrating_duct_carcinoma_icdom
1,100400000,101400000,6.677,16.703,102,infiltrating_duct_carcinoma_icdom
1,101400000,102400000,6.774,16.779,103,infiltrating_duct_carcinoma_icdom
1,102400000,103400000,6.885,16.508,104,infiltrating_duct_carcinoma_icdom
1,103400000,104400000,7.67,17.001,105,infiltrating_duct_carcinoma_icdom
1,104400000,105400000,7.066,16.049,106,infiltrating_duct_carcinoma_icdom
1,105400000,106400000,7.677,16.327,107,infiltrating_duct_carcinoma_icdom
1,106400000,107400000,7.684,15.702,108,infiltrating_duct_carcinoma_icdom
1,107400000,108400000,8.129,15.501,109,infiltrating_duct_carcinoma_icdom
1,108400000,109400000,8.525,14.91,110,infiltrating_duct_carcinoma_icdom
1,109400000,110400000,9.581,15.118,111,infiltrating_duct_carcinoma_icdom
1,110400000,111400000,8.31,14.472,112,infiltrating_duct_carcinoma_icdom
1,111400000,112400000,8.379,14.75,113,infiltrating_duct_carcinoma_icdom
1,112400000,113400000,8.713,14.187,114,infiltrating_duct_carcinoma_icdom
1,113400000,114400000,8.984,13.59,115,infiltrating_duct_carcinoma_icdom
1,114400000,115400000,9.637,13.701,116,infiltrating_duct_carcinoma_icdom
1,115400000,116400000,10.192,13.013,117,infiltrating_duct_carcinoma_icdom
1,116400000,117400000,11.631,12.687,118,infiltrating_duct_carcinoma_icdom
1,117400000,118400000,12.423,12.103,119,infiltrating_duct_carcinoma_icdom
1,118400000,119400000,12.27,10.276,120,infiltrating_duct_carcinoma_icdom
1,119400000,120400000,23.977,9.908,121,infiltrating_duct_carcinoma_icdom
1,120400000,121400000,22.289,3.634,122,infiltrating_duct_carcinoma_icdom
1,121400000,122400000,22.997,3.766,123,infiltrating_duct_carcinoma_icdom
1,122400000,123400000,21.504,2.432,124,infiltrating_duct_carcinoma_icdom
1,123400000,124400000,22.108,2.432,125,infiltrating_duct_carcinoma_icdom
1,124400000,125400000,21.754,2.293,126,infiltrating_duct_carcinoma_icdom
1,125400000,126400000,21.754,2.293,127,infiltrating_duct_carcinoma_icdom
1,126400000,127400000,21.754,2.293,128,infiltrating_duct_carcinoma_icdom
1,127400000,128400000,22.65,2.321,129,infiltrating_duct_carcinoma_icdom
1,128400000,129400000,22.65,2.321,130,infiltrating_duct_carcinoma_icdom
1,129400000,130400000,22.65,2.321,131,infiltrating_duct_carcinoma_icdom
1,130400000,131400000,22.65,2.321,132,infiltrating_duct_carcinoma_icdom
1,131400000,132400000,22.65,2.321,133,infiltrating_duct_carcinoma_icdom
1,132400000,133400000,22.65,2.321,134,infiltrating_duct_carcinoma_icdom
1,133400000,134400000,22.65,2.321,135,infiltrating_duct_carcinoma_icdom
1,134400000,135400000,22.65,2.321,136,infiltrating_duct_carcinoma_icdom
1,135400000,136400000,22.65,2.321,137,infiltrating_duct_carcinoma_icdom
1,136400000,137400000,22.65,2.321,138,infiltrating_duct_carcinoma_icdom
1,137400000,138400000,22.65,2.321,139,infiltrating_duct_carcinoma_icdom
1,138400000,139400000,22.65,2.321,140,infiltrating_duct_carcinoma_icdom
1,139400000,140400000,22.65,2.321,141,infiltrating_duct_carcinoma_icdom
1,140400000,141400000,22.65,2.321,142,infiltrating_duct_carcinoma_icdom
1,141400000,142400000,22.692,2.439,143,infiltrating_duct_carcinoma_icdom
1,142400000,143400000,23.595,2.314,144,infiltrating_duct_carcinoma_icdom
1,143400000,144400000,25.228,2.765,145,infiltrating_duct_carcinoma_icdom
1,144400000,145400000,26.124,2.126,146,infiltrating_duct_carcinoma_icdom
1,145400000,146400000,28.667,2.064,147,infiltrating_duct_carcinoma_icdom
1,146400000,147400000,29.987,1.82,148,infiltrating_duct_carcinoma_icdom
